ImageNumber,ObjectNumber,FileName_DNA,FileName_OverlayObjects,PathName_DNA,PathName_OverlayObjects,Children_FillObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,1,318.98916478555304,176.26280411336845,0,1
1,2,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,1,130.90009172909342,387.1838403913775,0,2
2,1,NP_LMNA_K9me2_Pol2_Well2_40X_F01_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F01_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,1,452.3333333333333,15.333333333333334,0,1
2,2,NP_LMNA_K9me2_Pol2_Well2_40X_F01_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F01_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,1,123.19889575391088,393.0356250821612,0,2
3,1,NP_LMNA_K9me2_Pol2_Well2_40X_F02_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F02_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,1,408.38986529826815,109.1578576010263,0,1
3,2,NP_LMNA_K9me2_Pol2_Well2_40X_F02_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F02_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,1,380.8424916962881,313.19107278130645,0,2
4,1,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,1,392.8458884416331,158.28441633122483,0,1
4,2,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,1,164.52058722330543,182.13889207477922,0,2
4,3,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,1,83.59787127889572,219.75694328953932,0,3
4,4,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,1,192.2002508361204,290.1578874024526,0,4
4,5,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,1,314.63256252426106,378.255808794987,0,5
